FlightNumber,Date,PayloadMass,Orbit,LaunchSite,Flights,GridFins,Reused,Legs,Block,ReusedCount,Serial,Longitude,Latitude,Class
80,2020-06-04,15400.0,VLEO,CCAFS SLC 40,5,True,True,True,5.0,5,B1049,-80.577366,28.5618571,1
81,2020-06-13,15400.0,VLEO,CCAFS SLC 40,3,True,True,True,5.0,3,B1059,-80.577366,28.5618571,1
82,2020-06-30,3880.0,MEO,CCAFS SLC 40,1,True,False,True,5.0,2,B1060,-80.577366,28.5618571,1
83,2020-07-20,6104.959411764706,GEO,CCAFS SLC 40,2,True,True,True,5.0,2,B1058,-80.577366,28.5618571,1
84,2020-08-18,15400.0,VLEO,CCAFS SLC 40,6,True,True,True,5.0,5,B1049,-80.577366,28.5618571,1
85,2020-08-30,1600.0,SSO,CCAFS SLC 40,4,True,True,True,5.0,3,B1059,-80.577366,28.5618571,1
86,2020-09-03,15400.0,VLEO,KSC LC 39A,2,True,True,True,5.0,2,B1060,-80.6039558,28.6080585,1
87,2020-10-06,15400.0,VLEO,KSC LC 39A,3,True,True,True,5.0,2,B1058,-80.6039558,28.6080585,1
88,2020-10-18,15400.0,VLEO,KSC LC 39A,6,True,True,True,5.0,5,B1051,-80.6039558,28.6080585,1
89,2020-10-24,15400.0,VLEO,CCAFS SLC 40,3,True,True,True,5.0,2,B1060,-80.577366,28.5618571,1
90,2020-11-05,3681.0,MEO,CCAFS SLC 40,1,True,False,True,5.0,0,B1062,-80.577366,28.5618571,1
